timestamp,actual,predicted
2024-09-19 18:45:00,0.0,0.0
2024-09-19 18:50:00,0.0,0.0
2024-09-19 18:55:00,0.0,0.0
2024-09-19 19:00:00,0.0,0.0
2024-09-19 19:05:00,0.0,0.0
2024-09-19 19:10:00,0.0,0.0
2024-09-19 19:15:00,0.0,0.0
2024-09-19 19:20:00,0.0,0.0
2024-09-19 19:25:00,0.0,0.0
2024-09-19 19:30:00,0.0,0.0
2024-09-19 19:35:00,0.0,0.0
2024-09-19 19:40:00,0.0,0.0
2024-09-19 19:45:00,0.0,0.0
2024-09-19 19:50:00,0.0,0.0
2024-09-19 19:55:00,0.0,0.0
2024-09-19 20:00:00,0.0,0.0
2024-09-19 20:05:00,0.0,0.0
2024-09-19 20:10:00,0.0,0.0
2024-09-19 20:15:00,0.0,0.0
2024-09-19 20:20:00,0.0,0.0
2024-09-19 20:25:00,0.0,0.0
2024-09-19 20:30:00,0.0,0.0
2024-09-19 20:35:00,0.0,0.0
2024-09-19 20:40:00,0.0,0.0
2024-09-19 20:45:00,0.0,0.0
2024-09-19 20:50:00,0.0,0.0
2024-09-19 20:55:00,0.0,0.0
2024-09-19 21:00:00,0.0,0.0
2024-09-19 21:05:00,0.0,0.0
2024-09-19 21:10:00,0.0,0.0
2024-09-19 21:15:00,0.0,0.0
2024-09-19 21:20:00,0.0,0.0
2024-09-19 21:25:00,0.0,0.0
2024-09-19 21:30:00,0.0,0.0
2024-09-19 21:35:00,0.0,0.0
2024-09-19 21:40:00,0.0,0.0
2024-09-19 21:45:00,0.0,0.0
2024-09-19 21:50:00,0.0,0.0
2024-09-19 21:55:00,0.0,0.0
2024-09-19 22:00:00,0.0,0.0
2024-09-19 22:05:00,0.0,0.0
2024-09-19 22:10:00,0.0,0.0
2024-09-19 22:15:00,0.0,0.0
2024-09-19 22:20:00,0.0,0.0
2024-09-19 22:25:00,0.0,0.0
2024-09-19 22:30:00,0.0,0.0
2024-09-19 22:35:00,0.0,0.0
2024-09-19 22:40:00,0.0,0.0
